2015,,,
UF = Rondônia,Admitidos,Desligados,Saldo
UF = Espírito Santo,Admitidos,Desligados,Saldo
Extrativa mineral,1,-1,82
Indústria de transformação,28,-28,110
Serviços Industriais de Utilidade Pública,1,-1,-110
Construção Civil,18,-22,-4
Comércio,43,-49,-6
Serviços,63,-67,-5
Administração Pública,198,-181,17
"Agropecuária, extração vegetal, caça e pesca",18,-12,6
Total,172,-181,-9
,,,
,,,
UF = Rio de Janeiro,Admitidos,Desligados,Saldo
Extrativa mineral,1,-2,-753
Indústria de transformação,64,-78,-14
Serviços Industriais de Utilidade Pública,3,-4,-469
Construção Civil,80,-94,-14
Comércio,175,-202,-27
Serviços,344,-359,-15
Administração Pública,1,-1,-99
"Agropecuária, extração vegetal, caça e pesca",4,-4,-519
Total,672,-743,-71
,,,
,,,
UF = São Paulo,Admitidos,Desligados,Saldo
Extrativa mineral,2,-2,-799
Indústria de transformação,390,-414,-24
Serviços Industriais de Utilidade Pública,11,-12,-979
Construção Civil,224,-232,-8
Comércio,542,-591,-49
Serviços,"  1,148,074 ","- 1,108,186 ",40
Administração Pública,22,-18,4
"Agropecuária, extração vegetal, caça e pesca",99,-88,11
Total,"  2,437,026 ","- 2,465,682 ",-29
,,,
,,,
UF = Paraná,Admitidos,Desligados,Saldo
Extrativa mineral,943,-862,81
Indústria de transformação,146,-143,3
Serviços Industriais de Utilidade Pública,2,-2,38
Construção Civil,59,-58,1
Comércio,159,-161,-2
Serviços,224,-209,15
Administração Pública,2,-2,681
"Agropecuária, extração vegetal, caça e pesca",25,-22,3
Total,618,-596,22
,,,
,,,
UF = Santa Catarina,Admitidos,Desligados,Saldo
Extrativa mineral,888,-975,-87
Indústria de transformação,159,-147,12
Serviços Industriais de Utilidade Pública,2,-2,77
Construção Civil,42,-40,3
Comércio,113,-120,-7
Serviços,170,-161,10
Administração Pública,8,-3,5
"Agropecuária, extração vegetal, caça e pesca",21,-23,-2
Total,517,-497,20
,,,
,,,
UF = Rio Grande do Sul,Admitidos,Desligados,Saldo
Extrativa mineral,999,-1,-118
Indústria de transformação,154,-147,7
Serviços Industriais de Utilidade Pública,3,-3,-
Construção Civil,48,-51,-3
Comércio,148,-156,-8
Serviços,200,-195,5
Administração Pública,2,-2,465
"Agropecuária, extração vegetal, caça e pesca",36,-37,-494
Total,592,-592,705
,,,
,,,
UF = Mato Grosso do Sul,Admitidos,Desligados,Saldo
Extrativa mineral,281,-316,-35
Indústria de transformação,21,-21,-120
Serviços Industriais de Utilidade Pública,990,-745,245
Construção Civil,10,-12,-1
Comércio,30,-31,-1
Serviços,39,-37,2
Administração Pública,36,-35,1
"Agropecuária, extração vegetal, caça e pesca",16,-15,1
Total,117,-116,1
,,,
,,,
UF = Mato Grosso,Admitidos,Desligados,Saldo
Extrativa mineral,660,-954,-294
Indústria de transformação,25,-27,-1
Serviços Industriais de Utilidade Pública,1,-677,470
Construção Civil,24,-22,1
Comércio,53,-55,-3
Serviços,47,-43,4
Administração Pública,80,-79,1
"Agropecuária, extração vegetal, caça e pesca",37,-34,2
Total,187,-183,4
,,,
,,,
UF = Goiás,Admitidos,Desligados,Saldo
Extrativa mineral,1,-951,169
Indústria de transformação,59,-54,6
Serviços Industriais de Utilidade Pública,994,-1,-162
Construção Civil,30,-34,-3
Comércio,67,-70,-2
Serviços,99,-93,6
